doc_id,archivo_pdf,fuente,tipo_documento_esperado,ruta_esperada,proveedor_esperado,nif_esperado,numero_factura_esperado,fecha_emision_esperada,fecha_vencimiento_esperada,moneda_esperada,importe_total_esperado,iva_esperado,iban_esperado,oc_referenciada_esperada,resultado_esperado,control_esperado,flag_esperado,severidad_esperada,caso_borde,motivo_caso,notas
GD-001,05_DYNATA_ES01-ARIV-0010205.pdf,real,factura_fiscal,non-PO,Dynata ES01 SL,B00000000,ES01-ARIV-0010205,2026-05-31,2026-06-30,EUR,1234.56,214.29,ES0000000000000000000000,,revision_humana,,,media,si,numero de factura con formato atipico: el extractor debe derivar por baja confianza,completar con valores reales leidos a mano del PDF
GD-002,03_CABIFY_invoice-ESP26F98358.pdf,real,factura_fiscal,non-PO,Cabify (Maxi Mobility Spain SL),B00000000,ESP26F98358,2026-05-31,2026-06-15,EUR,89.10,15.47,,,en_lote,,,,no,factura simple non-PO: debe pasar todos los controles y entrar al lote,
GD-003,factura_sintetica_iban_cambiado.pdf,sintetica,factura_fiscal,PO,Nubia Cloud Services SL,B83456783,NB-26-0644,2026-06-15,2026-07-15,EUR,9340.00,1620.99,ES1714651009120038466210,PO-2026-117,bloqueada,C6_DATOS_BANCARIOS,,maxima,si,IBAN de la factura distinto del maestro de proveedores: patron de fraude por suplantacion,el IBAN esperado en maestro es ES4001821234570600000047
GD-004,factura_sintetica_duplicada.pdf,sintetica,factura_fiscal,non-PO,Beatriz Roldan Casas,00000000X,2026-31,2026-06-12,2026-07-12,EUR,6400.00,1120.00,,,bloqueada,C2_DUPLICADOS,,alta,si,mismo proveedor e importe que factura 2026-27 ya procesada: casi-duplicado,
GD-005,factura_sintetica_match_fuera_tolerancia.pdf,sintetica,factura_fiscal,PO,Estudio Lezama Abogados SLP,B00000000,F-2026/244,2026-06-17,2026-07-17,EUR,6150.00,1067.36,,PO-2026-102,bloqueada,C5_MATCH,,alta,si,importe factura excede la OC por encima de la tolerancia configurada,
GD-006,factura_sintetica_oc_sin_autorizar.pdf,sintetica,factura_fiscal,PO,TalentBridge Seleccion SL,B00000000,TB-260131,2026-06-22,2026-07-22,EUR,7500.00,1301.65,,PO-2026-131,bloqueada,C3_AUTORIZACION_OC,,alta,si,OC referenciada sin aprobar o sin saldo,
GD-007,proforma_sintetica_anticipo.pdf,sintetica,proforma,anticipo,Instituto Qualia Research SL,B00000000,,2026-06-22,,EUR,4500.00,0.00,,,anticipo,C8_ANTICIPO_SIN_FACTURA_FINAL,,alta,si,anticipo pagado sin factura final vinculada: jamas entra a un lote,
GD-008,factura_sintetica_intercompany.pdf,sintetica,factura_fiscal,PO,Grupo Meridia UK Ltd,UK0000000,GM-UK-2026-Q2-07,2026-06-09,2026-07-09,EUR,12000.00,0.00,,PO-2026-090,en_lote,,INTERCOMPANY,,si,intercompany: avanza con flag soft y queda marcada para revision,
GD-009,recibo_sintetico_domiciliacion.pdf,sintetica,factura_fiscal,domiciliacion,Nimbus Suscripciones SL,B00000000,NB-2026-0187,2026-06-23,,EUR,217.80,37.80,,,conciliacion,,,,no,domiciliacion: va por conciliacion post-debito y no por lote,
GD-010,documento_sintetico_no_factura.pdf,sintetica,no_factura,,,,,,,,,,,,revision_humana,C1_COMPLETITUD,,media,si,documento que no es factura (presupuesto o albaran): el clasificador no debe reconocerlo como factura fiscal,
